entity_text|entity_type|count
Việt Nam|LOCATION|310
Iran|LOCATION|262
Mỹ|LOCATION|221
Israel|LOCATION|159
Bộ Công an|ORGANIZATION|84
Trump|PERSON|73
Anh|LOCATION|64
Trung Quốc|LOCATION|61
NATO|ORGANIZATION|56
UNESCO|ORGANIZATION|53
TP . HCM|LOCATION|53
Bộ Công Thương|ORGANIZATION|50
Nga|LOCATION|50
Ukraine|LOCATION|48
Qatar|LOCATION|43
Hàn Quốc|LOCATION|42
Hà Nội|LOCATION|36
Lương Tam Quang|PERSON|32
Hàng Kênh|LOCATION|30
Tehran|LOCATION|29
Đà Nẵng|LOCATION|28
TTXVN|ORGANIZATION|27
Thái Lan|LOCATION|27
tiếng Anh|MISCELLANEOUS|26
Donald Trump|PERSON|25
Trung Đông|LOCATION|25
Croatia|LOCATION|25
châu Âu|LOCATION|24
Hữu Châu|PERSON|23
Lan|PERSON|23
Bình Phước|ORGANIZATION|22
Tây Ban Nha|LOCATION|20
Bộ Chính trị|ORGANIZATION|20
Công Phượng|PERSON|19
Đức|LOCATION|19
Ý|LOCATION|19
Tạp chí Cộng sản|ORGANIZATION|17
Thái Sơn Nam|ORGANIZATION|17
Bắc Ninh|LOCATION|17
Ấn Độ|LOCATION|17
sông Hàn|LOCATION|17
Thế Hùng|PERSON|17
Đình Hàng Kênh|LOCATION|16
huyện Văn Lâm|LOCATION|16
Reuters|ORGANIZATION|16
Canada|LOCATION|15
Bắc Bộ|LOCATION|15
xã Minh Hải|LOCATION|15
Trần Văn Khê|PERSON|15
Phù Lãng|LOCATION|15
